Name,Reviewed?,Type of Food,Meals Served,Expected Price,Menu Highlights,Service Quality,Considerations,Extra Info,Website,Eco Friendly?,Rating,Address,Latitude,Longitude,Timestamp,Metropolitan Area,Have you eaten here?,Excitement to Try?
Clear Flour Bread,Reviewed,"Bakery, Bread","Breakfast, Coffee, Dessert, Specialty",$0-$10,"The Vollkornbrot is my favorite bakery bread period. It's a dense, seedy rye that is perfect with jam. Regardless of what bread you like, they have fresh loaves of flavorful rye, moist wheat, and perfect-panini sourdough.",Always friendly and hard to leave without ordering more than you intended,Organic-grown food explicitly used,,http://clearflourbread.com/index.php,,10,178 Thorndike St. Brookline MA 02446,42.350031,-71.126145,,Boston,,
Thai Orchid,Reviewed,Thai,"Lunch, Dinner",$10-$20,"Thai standards dotted with Cypriot specialties. Hummus and spring rolls and the baclava are a fantastic combination. Come for the curry or noodles and leave with some baclava. The food is seasoned perfectly, and they do a good job of balancing spice for all desired levels. The massaman curry has pineapple that adds a delicious unusual sweetness to it. Pretty much everything on the menu is good enough to re-route your road trip to the restaurant.",Family-run and feels like you're part of the family.,"Nut Allergy? AVOID!, Good vegetarian options","They'll give you spicy even if they don't think you can handle it, which is much appreciated",http://www.thaiorchidtakeout.com/,Good for eat-in (No excessive trash),10,"30 North 9th Street, Stroudsburg, PA 18360",40.9858093,-75.1982885,,N/A,,
Burn Co.,Reviewed,BBQ,Lunch,$10-$20,"The ribs are cooked on a Hasty Bake Oven, producing a rich, carmelized skin with tender, but not quite fall-off-the-bone meat. The Fatty, bacon mac and cheese, hot link, grilled potato salad, and just about everything else is mouthwateringly good, but the ribs are what you show up for.","Counter service, but always friendly and always clean despite everyone's dirty, bbq-covered hands.",Not vegetarian friendly,"They sell out of the popular items by noon on busy days. It used to be where you had to be in line before they opened to make sure you got what you wanted, but it's not quite as bad at their newer (current) location. If you're driving in from out of town, it's worth calling and placing your order to pick up if it seems like you'll arrive after noon.  ",http://burnbbq.com/,Good for eat-in (No excessive trash),10,"1738 S Boston Ave, Tulsa, OK 74119, USA",36.136502,-95.9855091,,Tulsa,,
Stash Café,Reviewed,Polish,"Dinner, Lunch",$25-$50,"The Polish sampler special is usually a guarantee to happiness. Mostly because you get delicious pierogi, bigos, and placki. The bigos could be eaten for days without getting tired of it.",Fantastic and helpful. It's a great meal and that's in large part to the staff.,,"They have a live piano with a busy, but cosy atmosphere. The perfect place for a night out with family or friends.",www.restaurantstashcafe.ca,Good for eat-in (No excessive trash),10,"200 Saint-Paul St W, Montreal, QC H2Y 1Z9, Canada",45.502196,-73.555634,,Montreal,,
Sweet Potato Sensations,Reviewed,Comfort Food,"Breakfast, Lunch",$10-$20,Sweet potato grits and salmon croquettes make it worth the trip. The sweet potato pancakes are a must-have too!,Southern hospitality with fresh food to match. ,,"There's street parking out front, but also a lot to the side of the restaurant.",https://sweetpotatosensations.com/,Good for eat-in (No excessive trash),10,"17337 Lahser Rd, Detroit, MI 48219",42.4171852,-83.2580022,,Detroit,,
Spring Creek,Reviewed,BBQ,"Dinner, Lunch",$15-$30,"BBQ plates, sandwiches, and a couple salads. The meat is tender, moist, and well-seasoned, but makes for a delicious lunch or dinner with all the sides. Their brisket and rolls are both favorites.","Cafeteria style for getting food, but staff circle with fresh rolls and keep the restaurant clean",Not vegetarian friendly,"On Sundays, they include free Blue Bell ice cream",https://springcreekbarbeque.com/,Good for eat-in (No excessive trash),10,"1993 N Central Expy, McKinney, TX 75070",33.219742,-96.636462,,DFW,,
The Mule,Reviewed,American,"Dinner, Lunch",$10-$20,"The Big Ass Grilled Cheese with bacon and blue cheese is a classic path to a food coma. The Cortez is another favorite, but you can't leave without trying the tomato soup (with the perfect level of spiciness) and the fries.","Friendly, hipster staff. It feels like a restaurant from the coast, but in OKC. ","Good gluten-free options, Not dairy-free friendly, Outdoor Dining Available",,http://themuleokc.com/,Good for eat-in (No excessive trash),10,"1630 N. Blackwelder, OKC, OK 73106",35.4857603,-97.5386445,,OKC,,
Moxie Bread Co,Reviewed,Bakery,"Breakfast, Coffee, Specialty",$07-$15,Seeded Dark Rye! It is actually good german rye in the US. The Buckwheat loaf also is a great flavor that isn't common.,Friendly and COVID-conscious,"Outdoor Dining Available, Good gluten-free options",They're focused on heirloom grains and have food packed with good flavor that's hard to find at many bakeries,https://www.moxiebreadco.com/,"Use your own coffee mug/cup!, Good for takeout (No plastics or styrofoam used in takeout)",10,"641 Main Street | Louisville, Colorado",39.9767175,-105.1323027,8/18/21 9:34,Denver,,
Mesa Winds Farm & Winery,Reviewed,Modern/Contemporary,"Brunch, Lunch, Dinner",$25-$50,"A weekly rotating menu, but the best plan is to order one of everything. ",,"Outdoor Dining Available, Organic-grown food explicitly used",It’s a family-run organic farm with a restaurant that gets the best flavors from their foods. ,www.mesawindsfarm.com,Good for eat-in (No excessive trash),10,"31262 L Rd, Hotchkiss, CO 81419",38.81515,-107.779578,9/4/21 23:30,N/A,,
Neighborhood Restaurant,Reviewed,"Portuguese, Breakfast","Breakfast, Lunch, Brunch",$10-$20,Cream of wheat and Portuguese breakfast are delicious. American breakfast items also great.,Family-run w/ good service,Outdoor Dining Available,Waits can be quite long throughout mornings on weekends. Up to 3 hours if you arrive around 10:30AM,http://www.theneighborhoodrestaurant.com/,Good for eat-in (No excessive trash),9,"25 Bow St. Somerville, MA 02143",42.3815341,-71.0972938,,Boston,,
Similians,Reviewed,Thai,"Dinner, Lunch",$10-$20,"The Tom Yum Noodle Soup is a favorite if you're looking for seafood or a good spicy noodle soup broth. The Angel Hair Kee Mow is also properly spicy with a lot of vegetables, making it a favorite.","They're friendly, responsive, and quick to take care of anything that goes wrong. ",Nut Allergy? AVOID!,A perfect place to go if you want a nice dinner without breaking the bank or being cramped into a restaurant in the city.,http://www.thesimilans.com/,Good for eat-in (No excessive trash),9,"145 First St, Cambridge, MA 02142",42.3663737,-71.0781437,,Boston,,
Yats,Reviewed,Cajun,"Lunch, Dinner",$07-$15,"Cajun specialties, but they rotate daily. If they have the spinach and mushroom etouffee, you should definitely get it, but all the dishes are made daily in a central location and sent to all the restaurants in town where they keep the stews warm and ready to serve. ","Quick service due to the type of food, but always friendly",Good vegetarian options,A great stop if you want good quality food fast.,www.yatscajuncreole.com,Good for eat-in (No excessive trash),9,"5650 West 86th Street Suite 132 Suite 132, Indianapolis, IN 46278",39.9123317,-86.2620751,,Indianapolis,,
The Tamale Place,Reviewed,Mexican,Lunch,$07-$15,"All the normal tamales are delicious, but the pumpkin tamale is something you won't find elsewhere and is a must-try for pumpkin fans.",Counter service,,"They do run out of tamales and it varies how long it takes for more to be available, so order your second helping if you think you'll want a lot.",https://www.thetamaleplace.com/,,9,"5226 Rockville Rd, Indianapolis, IN 46224",39.7655498,-86.2489075,,Indianapolis,,
Roti King,Reviewed,Malaysian,"Lunch, Dinner",$0-$10,"Kari Laksa is spicy, but not tear-inducing spicy. The roti is quite delicious as well.",,,"They often have a wait for the small restaurant. If you have a group of 3 and a solo diner shows up when there's a wait, they will seat the solo person at your table.",http://rotiking.info/,Good for eat-in (No excessive trash),9,"40 Doric Way
London NW1 1LH, UK",51.5290977,-0.1320304,,London,,
Fuzzy's,Reviewed,Tex-Mex,"Lunch, Dinner",$07-$15,"Their tortilla chips have a lot of seasoning, but are a great starter with salsa. The shrimp tacos and fajita salads are also seasoned well and always make a good choice. Overall, it's standard Tex-Mex, but always tastes fresh with good portion sizing."," Order at the counter, but the restaurant is still kept clean","Good vegetarian options, Outdoor Dining Available",,http://www.fuzzystacoshop.com/,Good for eat-in (No excessive trash),9,"1462 S. Bryant. Edmond, OK 73034",35.6391237,-97.458676,,OKC,,
Brigsten's,Reviewed,Creole,Dinner,$25-$50,Upscale creole food. Their seafood platter with shrimp cornbread is one of my favorite dishes in the country. ,"Very warm and friendly, it's upscale, but not without a sense of hominess.",,Reservations need to be made well in advance. You have a slight chance of slipping in right when they open if you know what you want to order and are solo or make clear you won't stay too long.,http://www.brigtsens.com/#menu,Good for eat-in (No excessive trash),9,"723 Dante St, New Orleans, LA 70118",29.9456059,-90.1346452,,New Orleans,,
Ted's,Reviewed,Mexican,"Dinner, Lunch",$10-$20,"The Tex-Mex is good, but the doughy (but not in an undercooked way) flour tortillas make Ted's a must-visit. The chips, salsa, and queso set a standard that every other restaurant in town is compared to.",Among the best in the country. They refill drinks and chips before you think to ask and do a great job of keeping up with the table.,,"You'll leave needing a nap, but it's well worth stopping in after a long day.",https://tedscafe.com/,,9,"2836 NW 68th St, Oklahoma City, OK 73116",35.5403618,-97.5645459,,OKC,,
Guernsey Dairy,Reviewed,Family Restaurant,"Dinner, Dessert",$10-$20,"Feels like home-cooked meals with a friendly staff that makes for a nice, quick meal out. They have some of Detroit's best ice cream to sweeten the deal.",,,The perfect place to go when you're inteneding to get dessert afterwards.,www.guernseyfarmsdairy.com/,,9,"21300 Novi Rd, Northville, MI 48167",42.444308,-83.473119,,Detroit,,
The Daily Catch- North End,Reviewed,Seafood,"Dinner, Lunch",$20-$40,"The squid ink pasta is something you have to try at least once, but get the fish that sounds best- it won't let you down.","Decent service, but the majority of the staff is cooking rather than waiting.",,"It's a small ~25 person restaurant and is usually best for a late lunch (like 2PM), but a place you need to make time for if you're around Boston enough.",http://thedailycatch.com/restaurants/north-end,Good for eat-in (No excessive trash),9,"323 Hanover St, Boston, MA 02113, USA",42.3640621,-71.0539724,,Boston,,
Kanada-Ya,Reviewed,Ramen,"Dinner, Lunch",$15-$30,"Well balanced ramen that's not too heavy, but also quite flavorful",,,,https://www.kanada-ya.com/piccadilly,Good for eat-in (No excessive trash),9,"64 St Giles High St
London WC2H 8LE, UK",51.5154621,-0.1275808,,London,,
Breads Bakery,Reviewed,"Bakery, Cafe, Dessert","Breakfast, Coffee, Dessert, Specialty",$0-$10,"Get the chocolate babka. The coffee and other items are ok, but the babka is worth driving into Manhattan for.",,,,https://www.breadsbakery.com,,9,"18 E 16th St, New York, NY 10003",40.7366013,-73.9917951,,NYC,,
Aroma Patisserie,Reviewed,"Bakery, Dessert","Coffee, Dessert, Specialty",$0-$10,Cypriot Bakery. Ask for recommendations and they will give you good ones.,Kind and family-run. I forgot my bike lock and they were encouraging of me bringing my bike inside when I explained my situation. I wasn't sure what I wanted and they made sure I found something I liked.,Nut Allergy? AVOID!,"This is a perfect destination to bike to from central London, but give yourself time afterwards because you'll need to digest.",,Good for eat-in (No excessive trash),9,"424-426 Green Lanes, Palmers Green
London N13 5XG, UK",51.6222411,-0.1049886,,London,,
Vejigantes,Reviewed,Puerto Rican,"Lunch, Dinner",$15-$30,"A good variety of flavors at a reasonable price- especially for Boston. Good mofongo, but you’re missing out if you don’t get a bite of the Paella Valenciana. ",,,"It's only a short walk from where most of the tourists tend to end up when in Boston, but somewhere that feels very much like a local restaurant.",www.vejigantesrestaurant.com,Good for eat-in (No excessive trash),9,"57 W Dedham St, Boston, MA 02118",42.342185,-71.0729199,,Boston,,
Highland Kitchen,Reviewed,Brunch,"Brunch, Dinner",$15-$30,"The catfish is the best you'll find in New England, but the pancakes, omlettes, and huevos rancheros are solid options too.",Friendly and the staff usually work together on refills and checking on tables,,"Arrive for weekend brunch at 10:20 or 11:00 to minimize your wait time. Arriving after 10:30 risks not being in the first seating when they open, but arriving at 11 usually can get you into the back of the second seating or front of the 3rd seating.",http://highlandkitchen.com/,Good for eat-in (No excessive trash),9,"150 Highland Ave. Somerville, MA 02143",42.3881643,-71.1032127,,Boston,,
The Mill,Reviewed,"Bakery, Bread, Cafe","Breakfast, Lunch, Coffee, Specialty",$0-$10,Go for the evening pizza service and don't leave without trying the garlic knot. The dark mountain rye is also one of the few German ryes in the area that leaves you wanting another slice.,,,"Go in the morning if you want bread, but they may still have a few loaves around dinner time. The pizza is one of the best dinner choices in the neighborhood.",http://www.themillsf.com/menu,,9,"736 Divisadero St. San Francisco, CA 94117",37.7764698,-122.4377565,,Bay Area,,
